mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count),w_RW_cmd(RPM),w_RW_meas(RPM)
5653,-0.18,-23.85,-15.30,0.00,0,0,0,0,-346.67,-318.00
5703,4.24,-22.35,-15.60,0.00,0,0,0,0,-346.67,-324.00
5753,-1.91,-22.35,-14.85,0.00,0,0,0,0,-346.67,-324.00
5803,0.72,-22.20,-16.50,0.00,0,0,0,0,-346.67,-324.00
5853,1.34,-22.95,-15.15,0.00,0,0,0,0,-346.67,-324.00
5903,0.31,-23.25,-14.70,0.00,0,0,0,0,-346.67,-324.00
5953,0.02,-22.20,-16.50,0.00,0,0,0,0,-346.67,-324.00
6003,-0.28,-23.85,-15.60,0.00,0,0,0,0,-346.67,-324.00
6053,-1.38,-21.60,-16.35,0.00,0,0,0,0,-346.67,-324.00
6103,0.05,-22.80,-16.05,0.00,0,0,0,0,-346.67,-324.00
6153,0.12,-23.25,-15.15,0.00,0,0,0,0,-346.67,-318.00
6203,-0.53,-22.20,-15.45,0.00,0,0,0,0,-346.67,-324.00
6253,-1.38,-23.10,-15.60,0.00,0,0,0,0,-346.67,-324.00
6303,1.63,-23.25,-14.70,0.00,0,0,0,0,-346.67,-324.00
6353,-0.29,-23.10,-15.60,0.00,0,0,0,0,-346.67,-324.00
6403,0.32,-23.25,-15.45,0.00,0,0,0,0,-346.67,-324.00
6453,2.49,-23.10,-15.30,0.00,0,0,0,0,-346.67,-324.00
6503,3.20,-24.15,-16.80,0.00,0,0,0,0,-346.67,-324.00
6553,1.59,-22.20,-15.45,0.00,0,0,0,0,-346.67,-324.00
6603,0.95,-22.50,-15.15,0.00,0,0,0,0,-346.67,-324.00
6653,-0.69,-23.85,-15.30,0.00,0,0,0,0,-346.67,-318.00
6703,-1.56,-24.00,-16.50,0.00,0,0,0,0,-346.67,-324.00
6753,2.40,-22.50,-15.90,0.00,0,0,0,0,-346.67,-318.00
6803,0.85,-22.80,-14.55,0.00,0,0,0,0,-346.67,-324.00
6853,1.52,-23.85,-17.10,0.00,0,0,0,0,-346.67,-324.00
6903,2.78,-23.40,-14.85,0.00,0,0,0,0,-346.67,-324.00
6953,-1.46,-23.10,-15.30,0.00,0,0,0,0,-346.67,-324.00
7003,3.56,-23.25,-15.90,0.00,0,0,0,0,-346.67,-324.00
7053,0.31,-23.40,-15.60,0.00,0,0,0,0,-346.67,-324.00
7103,1.05,-22.05,-15.30,0.00,0,0,0,0,-346.67,-324.00
7153,0.25,-22.95,-15.15,0.00,0,0,0,0,-346.67,-324.00
7203,-1.58,-22.35,-16.05,0.00,0,0,0,0,-346.67,-324.00
7253,0.11,-21.15,-16.20,0.00,0,0,0,0,-346.67,-318.00
7303,-0.08,-23.10,-14.55,0.00,0,0,0,0,-346.67,-324.00
7353,-2.39,-23.85,-16.05,0.00,0,0,0,0,-346.67,-324.00
7403,-1.91,-22.50,-15.15,0.00,0,0,0,0,-346.67,-324.00
7453,-0.43,-24.30,-13.95,0.00,0,0,0,0,-346.67,-324.00
7503,-0.02,-22.05,-16.05,0.00,0,0,0,0,-346.67,-324.00
7553,-0.37,-22.50,-15.45,0.00,0,0,0,0,-346.67,-324.00
7603,-0.74,-22.80,-13.80,0.00,0,0,0,0,-346.67,-324.00
7653,3.24,-22.95,-15.90,0.00,0,0,0,0,-346.67,-324.00
7703,2.69,-23.10,-15.60,0.00,0,0,0,0,-346.67,-324.00
7753,0.38,-23.25,-14.70,0.00,0,0,0,0,-346.67,-318.00
7803,1.60,-23.25,-15.45,0.00,0,0,0,0,-346.67,-324.00
7853,-1.89,-23.55,-18.00,0.00,0,0,0,0,-346.67,-318.00
7903,-4.21,-22.50,-15.45,0.00,0,0,0,0,-346.67,-324.00
7953,3.22,-22.05,-15.30,0.00,0,0,0,0,-346.67,-324.00
8003,1.32,-24.30,-15.45,0.00,0,0,0,0,-346.67,-324.00
8053,0.02,-22.80,-15.60,0.00,0,0,0,0,-346.67,-318.00
8103,1.91,-21.90,-14.70,0.00,0,0,0,0,-346.67,-318.00
8153,-0.09,-24.00,-16.20,0.00,0,0,0,0,-346.67,-324.00
8203,2.89,-23.85,-14.25,0.00,0,0,0,0,-346.67,-324.00
8253,-0.03,-23.85,-14.85,0.00,0,0,0,0,-346.67,-324.00
8303,-1.03,-24.00,-16.20,0.00,0,0,0,0,-346.67,-324.00
8353,2.15,-22.35,-14.85,0.00,0,0,0,0,-346.67,-324.00
8403,-1.92,-23.40,-16.05,0.00,0,0,0,0,-346.67,-318.00
