mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count),w_RW_cmd(RPM),w_RW_meas(RPM)
7554,0.64,-17.55,-7.05,0.00,0,0,0,0,-416.67,-408.00
7604,3.30,-17.70,-8.40,0.00,0,0,0,0,-416.67,-414.00
7654,0.36,-19.20,-7.95,0.00,0,0,0,0,-416.67,-414.00
7704,0.37,-18.45,-8.40,0.00,0,0,0,0,-416.67,-414.00
7754,3.27,-19.20,-7.65,0.00,0,0,0,0,-416.67,-414.00
7804,0.40,-17.85,-6.75,0.00,0,0,0,0,-416.67,-414.00
7854,0.92,-17.70,-7.65,0.00,0,0,0,0,-416.67,-414.00
7904,0.66,-18.75,-7.65,0.00,0,0,0,0,-416.67,-408.00
7954,-0.24,-17.70,-6.45,0.00,0,0,0,0,-416.67,-420.00
8004,0.20,-19.95,-9.00,0.00,0,0,0,0,-416.67,-414.00
8054,0.67,-18.30,-7.20,0.00,0,0,0,0,-416.67,-414.00
8104,1.89,-18.45,-7.95,0.00,0,0,0,0,-416.67,-414.00
8154,-0.42,-18.60,-7.05,0.00,0,0,0,0,-416.67,-414.00
8204,-2.02,-17.70,-8.70,0.00,0,0,0,0,-416.67,-414.00
8254,1.32,-19.05,-8.85,0.00,0,0,0,0,-416.67,-414.00
8304,1.92,-19.95,-7.65,0.00,0,0,0,0,-416.67,-414.00
8354,0.69,-18.60,-7.80,0.00,0,0,0,0,-416.67,-414.00
8404,-2.56,-17.85,-9.60,0.00,0,0,0,0,-416.67,-408.00
8454,0.80,-18.60,-7.80,0.00,0,0,0,0,-416.67,-420.00
8504,1.39,-18.45,-7.65,0.00,0,0,0,0,-416.67,-408.00
8554,1.20,-19.20,-7.95,0.00,0,0,0,0,-416.67,-408.00
8604,2.88,-19.35,-7.05,0.00,0,0,0,0,-416.67,-420.00
8654,4.27,-18.60,-8.55,0.00,0,0,0,0,-416.67,-414.00
8704,-0.32,-18.15,-7.65,0.00,0,0,0,0,-416.67,-408.00
8754,-3.17,-18.75,-7.95,0.00,0,0,0,0,-416.67,-414.00
8804,-0.21,-18.75,-7.20,0.00,0,0,0,0,-416.67,-414.00
8854,-3.42,-18.45,-8.40,0.00,0,0,0,0,-416.67,-408.00
8904,1.37,-18.15,-7.95,0.00,0,0,0,0,-416.67,-414.00
8954,1.11,-17.40,-7.95,0.00,0,0,0,0,-416.67,-414.00
9004,-2.22,-17.85,-7.80,0.00,0,0,0,0,-416.67,-414.00
9054,-1.44,-18.15,-8.70,0.00,0,0,0,0,-416.67,-414.00
9104,3.90,-19.50,-7.20,0.00,0,0,0,0,-416.67,-414.00
9154,-0.52,-18.60,-8.10,0.00,0,0,0,0,-416.67,-414.00
9204,-0.31,-19.05,-6.30,0.00,0,0,0,0,-416.67,-408.00
9254,-0.66,-18.15,-7.65,0.00,0,0,0,0,-416.67,-414.00
9304,0.27,-20.10,-8.10,0.00,0,0,0,0,-416.67,-414.00
9354,-0.31,-19.05,-7.80,0.00,0,0,0,0,-416.67,-408.00
9404,3.17,-17.55,-8.55,0.00,0,0,0,0,-416.67,-414.00
9454,1.47,-19.65,-8.10,0.00,0,0,0,0,-416.67,-414.00
9504,-1.61,-18.45,-7.95,0.00,0,0,0,0,-416.67,-408.00
9554,-0.11,-18.15,-8.70,0.00,0,0,0,0,-416.67,-414.00
9604,-3.33,-17.70,-6.90,0.00,0,0,0,0,-416.67,-414.00
9654,2.64,-18.60,-7.35,0.00,0,0,0,0,-416.67,-414.00
9704,0.54,-19.65,-8.10,0.00,0,0,0,0,-416.67,-414.00
9754,2.28,-18.60,-8.10,0.00,0,0,0,0,-416.67,-414.00
9804,-1.40,-19.20,-6.45,0.00,0,0,0,0,-416.67,-414.00
9854,1.24,-19.95,-7.20,0.00,0,0,0,0,-416.67,-414.00
9904,2.99,-18.75,-7.20,0.00,0,0,0,0,-416.67,-408.00
9954,0.57,-18.30,-8.55,0.00,0,0,0,0,-416.67,-414.00
10004,1.31,-19.05,-8.10,0.00,0,0,0,0,-416.67,-408.00
10054,0.34,-19.35,-7.35,0.00,0,0,0,0,0.00,-360.00
10104,1.52,-19.50,-7.20,0.00,0,0,0,0,0.00,-294.00
10154,-1.08,-19.50,-7.65,0.00,0,0,0,0,0.00,-234.00
10204,1.03,-19.20,-8.70,0.00,0,0,0,0,0.00,-186.00
10254,-1.57,-18.75,-8.70,0.00,0,0,0,0,0.00,-144.00
10304,-0.91,-19.20,-6.90,0.00,0,0,0,0,0.00,-114.00
10354,5.21,-18.45,-8.40,0.00,0,0,0,0,0.00,-84.00
10404,0.34,-17.55,-7.80,0.00,0,0,0,0,0.00,-66.00
10454,0.13,-18.45,-7.65,0.00,0,0,0,0,0.00,-54.00
10504,-1.47,-18.30,-8.10,0.00,0,0,0,0,0.00,-30.00
10554,2.69,-19.05,-7.05,0.00,0,0,0,0,0.00,-24.00
10604,2.02,-19.20,-6.45,0.00,0,0,0,0,0.00,-12.00
10654,1.53,-18.30,-7.05,0.00,0,0,0,0,0.00,-6.00
10704,1.31,-17.55,-7.80,0.00,0,0,0,0,0.00,0.00
10754,1.21,-19.50,-8.70,0.00,0,0,0,0,0.00,0.00
10804,0.63,-20.10,-7.35,0.00,0,0,0,0,0.00,0.00
10854,1.73,-18.60,-8.10,0.00,0,0,0,0,0.00,0.00
10904,1.66,-19.50,-8.40,0.00,0,0,0,0,0.00,0.00
10954,0.03,-18.75,-7.20,0.00,0,0,0,0,0.00,0.00
11004,2.45,-18.60,-7.05,0.00,0,0,0,0,0.00,0.00
11054,-0.98,-17.40,-8.70,0.00,0,0,0,0,0.00,0.00
11104,3.13,-17.85,-8.55,0.00,0,0,0,0,0.00,0.00
11154,0.08,-18.30,-8.85,0.00,0,0,0,0,0.00,0.00
11204,-0.31,-17.55,-8.10,0.00,0,0,0,0,0.00,0.00
11254,1.43,-18.15,-7.95,0.00,0,0,0,0,0.00,0.00
11304,1.30,-18.30,-7.35,0.00,0,0,0,0,0.00,0.00
11354,0.27,-18.60,-7.80,0.00,0,0,0,0,0.00,0.00
11404,0.85,-18.60,-7.80,0.00,0,0,0,0,0.00,0.00
11454,1.25,-17.55,-7.35,0.00,0,0,0,0,0.00,0.00
11504,1.66,-18.45,-7.65,0.00,0,0,0,0,0.00,0.00
11554,1.21,-17.25,-7.80,0.00,0,0,0,0,0.00,0.00
11604,0.46,-19.20,-7.95,0.00,0,0,0,0,0.00,0.00
11654,-1.77,-19.20,-9.45,0.00,0,0,0,0,0.00,0.00
11704,1.02,-19.05,-8.10,0.00,0,0,0,0,0.00,0.00
11754,1.11,-19.35,-7.35,0.00,0,0,0,0,0.00,0.00
11804,0.36,-18.45,-7.20,0.00,0,0,0,0,0.00,0.00
11854,-2.95,-17.55,-7.05,0.00,0,0,0,0,0.00,0.00
11904,0.85,-17.55,-8.55,0.00,0,0,0,0,0.00,0.00
11954,-0.33,-19.20,-8.40,0.00,0,0,0,0,0.00,0.00
12004,3.25,-18.30,-8.10,0.00,0,0,0,0,0.00,0.00
12054,-0.21,-19.20,-9.00,0.00,0,0,0,0,0.00,0.00
12104,0.47,-17.85,-8.55,0.00,0,0,0,0,0.00,0.00
12154,-0.04,-17.55,-6.75,0.00,0,0,0,0,0.00,0.00
12204,-1.01,-18.15,-7.65,0.00,0,0,0,0,0.00,0.00
12254,1.10,-19.35,-8.55,0.00,0,0,0,0,0.00,0.00
12304,1.95,-18.15,-8.40,0.00,0,0,0,0,0.00,0.00
12354,1.12,-18.45,-7.95,0.00,0,0,0,0,0.00,0.00
12404,2.23,-17.85,-7.05,0.00,0,0,0,0,0.00,0.00
12454,0.18,-18.75,-8.40,0.00,0,0,0,0,0.00,0.00
12504,2.47,-18.15,-7.95,0.00,0,0,0,0,0.00,0.00
12554,1.37,-19.20,-7.65,0.00,0,0,0,0,0.00,0.00
12604,-1.31,-19.35,-8.10,0.00,0,0,0,0,0.00,0.00
12654,-2.26,-17.40,-8.70,0.00,0,0,0,0,0.00,0.00
12704,-0.27,-18.15,-7.65,0.00,0,0,0,0,0.00,0.00
12754,-2.86,-18.45,-7.95,0.00,0,0,0,0,0.00,0.00
12804,2.45,-18.60,-6.75,0.00,0,0,0,0,0.00,0.00
12854,1.27,-18.60,-8.85,0.00,0,0,0,0,0.00,0.00
12904,-0.67,-18.75,-8.70,0.00,0,0,0,0,0.00,0.00
12954,2.44,-19.65,-7.80,0.00,0,0,0,0,0.00,0.00
13004,0.35,-18.30,-8.55,0.00,0,0,0,0,0.00,0.00
13054,0.60,-18.45,-7.20,0.00,0,0,0,0,0.00,0.00
13104,1.79,-17.40,-8.40,0.00,0,0,0,0,0.00,0.00
13154,-1.08,-17.70,-8.70,0.00,0,0,0,0,0.00,0.00
13204,0.52,-18.60,-6.75,0.00,0,0,0,0,0.00,0.00
13254,-1.62,-19.50,-8.40,0.00,0,0,0,0,0.00,0.00
13304,1.17,-19.65,-7.35,0.00,0,0,0,0,0.00,0.00
13354,-1.00,-19.05,-8.55,0.00,0,0,0,0,0.00,0.00
13404,-0.67,-17.40,-7.95,0.00,0,0,0,0,0.00,0.00
13454,0.46,-17.10,-7.95,0.00,0,0,0,0,0.00,0.00
13504,1.25,-17.40,-7.95,0.00,0,0,0,0,0.00,0.00
13554,-0.79,-18.45,-8.40,0.00,0,0,0,0,0.00,0.00
13604,0.87,-17.55,-7.80,0.00,0,0,0,0,0.00,0.00
13654,0.79,-18.15,-7.95,0.00,0,0,0,0,0.00,0.00
13704,0.46,-18.75,-7.95,0.00,0,0,0,0,0.00,0.00
13754,0.04,-19.20,-8.40,0.00,0,0,0,0,0.00,0.00
13804,-0.71,-19.05,-8.55,0.00,0,0,0,0,0.00,0.00
13854,0.27,-18.30,-9.30,0.00,0,0,0,0,0.00,0.00
13904,1.69,-17.40,-6.45,0.00,0,0,0,0,0.00,0.00
13954,0.72,-18.45,-7.65,0.00,0,0,0,0,0.00,0.00
14004,0.18,-19.50,-7.65,0.00,0,0,0,0,0.00,0.00
14054,1.79,-17.70,-7.95,0.00,0,0,0,0,0.00,0.00
14104,-0.82,-18.45,-7.65,0.00,0,0,0,0,0.00,0.00
14154,1.88,-19.05,-7.35,0.00,0,0,0,0,0.00,0.00
14204,-2.11,-18.30,-8.10,0.00,0,0,0,0,0.00,0.00
14254,-2.85,-17.70,-7.65,0.00,0,0,0,0,0.00,0.00
14304,0.76,-17.70,-7.95,0.00,0,0,0,0,0.00,0.00
14354,-0.07,-17.55,-7.05,0.00,0,0,0,0,0.00,0.00
14404,-0.49,-17.85,-6.75,0.00,0,0,0,0,0.00,0.00
14454,1.45,-17.85,-7.35,0.00,0,0,0,0,0.00,0.00
14504,-0.40,-19.20,-8.70,0.00,0,0,0,0,0.00,0.00
14554,0.45,-18.75,-8.40,0.00,0,0,0,0,0.00,0.00
14604,1.98,-19.05,-8.10,0.00,0,0,0,0,0.00,0.00
14654,-0.32,-19.35,-7.35,0.00,0,0,0,0,0.00,0.00
14704,0.70,-18.30,-7.05,0.00,0,0,0,0,0.00,0.00
14754,-0.20,-17.85,-7.05,0.00,0,0,0,0,0.00,0.00
14804,-1.92,-18.60,-8.85,0.00,0,0,0,0,0.00,0.00
14854,0.41,-18.30,-7.80,0.00,0,0,0,0,0.00,0.00
14904,1.40,-17.55,-8.55,0.00,0,0,0,0,0.00,0.00
14954,0.36,-18.75,-7.65,0.00,0,0,0,0,0.00,0.00
15004,-0.50,-19.20,-8.40,0.00,0,0,0,0,0.00,0.00
