mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count),w_RW_cmd(RPM),w_RW_meas(RPM)
9503,2.27,-22.50,-6.75,0.00,0,0,0,0,-250.00,-240.00
9553,1.78,-21.90,-5.55,0.00,0,0,0,0,-250.00,-240.00
9603,3.85,-21.90,-7.05,0.00,0,0,0,0,-250.00,-240.00
9653,-0.92,-21.45,-6.30,0.00,0,0,0,0,-250.00,-240.00
9703,1.16,-23.40,-6.15,0.00,0,0,0,0,-250.00,-240.00
9753,1.66,-21.30,-4.35,0.00,0,0,0,0,-250.00,-240.00
9803,-0.70,-22.05,-6.90,0.00,0,0,0,0,-250.00,-240.00
9853,2.58,-22.95,-6.30,0.00,0,0,0,0,-250.00,-240.00
9903,4.33,-21.90,-4.80,0.00,0,0,0,0,-250.00,-240.00
9953,0.15,-22.35,-5.85,0.00,0,0,0,0,-250.00,-240.00
10003,0.88,-22.05,-6.90,0.00,0,0,0,0,-250.00,-240.00
10053,2.73,-22.05,-6.45,0.00,0,0,0,0,-250.00,-240.00
10103,-1.44,-22.95,-5.25,0.00,0,0,0,0,-250.00,-240.00
10153,1.18,-22.50,-6.75,0.00,0,0,0,0,-250.00,-240.00
10203,0.76,-21.30,-5.40,0.00,0,0,0,0,-250.00,-240.00
10253,1.38,-23.55,-4.20,0.00,0,0,0,0,-250.00,-240.00
10303,0.63,-24.15,-6.90,0.00,0,0,0,0,-250.00,-240.00
10353,2.15,-22.80,-6.45,0.00,0,0,0,0,-250.00,-240.00
10403,0.85,-22.95,-4.20,0.00,0,0,0,0,-250.00,-240.00
10453,-0.26,-23.55,-6.75,0.00,0,0,0,0,-250.00,-240.00
10503,0.61,-23.25,-5.55,0.00,0,0,0,0,-250.00,-240.00
10553,1.32,-22.05,-6.15,0.00,0,0,0,0,-250.00,-240.00
10603,1.14,-23.55,-5.55,0.00,0,0,0,0,-250.00,-240.00
10653,0.44,-22.80,-5.85,0.00,0,0,0,0,-250.00,-240.00
10703,-2.46,-22.80,-6.90,0.00,0,0,0,0,-250.00,-234.00
10753,1.89,-23.85,-5.10,0.00,0,0,0,0,-250.00,-240.00
10803,2.21,-23.85,-5.40,0.00,0,0,0,0,-250.00,-240.00
10853,0.31,-22.20,-5.55,0.00,0,0,0,0,-250.00,-240.00
10903,0.89,-21.90,-6.00,0.00,0,0,0,0,-250.00,-240.00
10953,-1.34,-22.05,-6.15,0.00,0,0,0,0,-250.00,-234.00
11003,-0.92,-21.90,-4.50,0.00,0,0,0,0,-250.00,-240.00
11053,0.43,-22.95,-5.25,0.00,0,0,0,0,-250.00,-240.00
11103,2.95,-21.60,-5.85,0.00,0,0,0,0,-250.00,-240.00
11153,1.44,-23.85,-5.40,0.00,0,0,0,0,-250.00,-240.00
11203,-0.58,-22.35,-4.35,0.00,0,0,0,0,-250.00,-234.00
11253,0.95,-22.95,-5.25,0.00,0,0,0,0,-250.00,-240.00
11303,-0.79,-22.20,-5.55,0.00,0,0,0,0,-250.00,-240.00
11353,1.24,-23.55,-5.55,0.00,0,0,0,0,-250.00,-240.00
11403,-0.63,-22.50,-5.55,0.00,0,0,0,0,-250.00,-240.00
11453,-0.81,-22.95,-3.75,0.00,0,0,0,0,-250.00,-234.00
11503,-1.79,-22.80,-6.15,0.00,0,0,0,0,-250.00,-240.00
11553,1.01,-22.80,-5.85,0.00,0,0,0,0,-250.00,-240.00
11603,4.18,-22.50,-6.00,0.00,0,0,0,0,-250.00,-240.00
11653,2.48,-21.60,-6.45,0.00,0,0,0,0,-250.00,-240.00
11703,0.82,-22.20,-6.00,0.00,0,0,0,0,-250.00,-234.00
11753,1.63,-22.05,-5.40,0.00,0,0,0,0,-250.00,-234.00
11803,3.50,-21.60,-5.85,0.00,0,0,0,0,-250.00,-240.00
11853,2.62,-22.50,-5.55,0.00,0,0,0,0,-250.00,-240.00
11903,-0.94,-21.90,-6.00,0.00,0,0,0,0,-250.00,-240.00
11953,-0.12,-22.50,-5.25,0.00,0,0,0,0,-250.00,-234.00
12003,1.86,-23.10,-5.85,0.00,0,0,0,0,-250.00,-240.00
12053,0.82,-22.35,-5.10,0.00,0,0,0,0,-250.00,-240.00
12103,0.93,-23.55,-6.00,0.00,0,0,0,0,-250.00,-240.00
12153,-1.85,-22.80,-5.10,0.00,0,0,0,0,-250.00,-240.00
12203,-2.47,-23.85,-6.15,0.00,0,0,0,0,-250.00,-240.00
12253,2.69,-21.90,-4.80,0.00,0,0,0,0,-250.00,-234.00
12303,1.15,-22.50,-5.55,0.00,0,0,0,0,-250.00,-240.00
12353,-0.44,-22.35,-5.10,0.00,0,0,0,0,-250.00,-240.00
12403,2.13,-22.95,-4.80,0.00,0,0,0,0,-250.00,-240.00
12453,0.08,-22.80,-5.85,0.00,0,0,0,0,-250.00,-240.00
12503,1.66,-22.05,-5.10,0.00,0,0,0,0,-250.00,-234.00
12553,3.62,-22.35,-4.65,0.00,0,0,0,0,-250.00,-240.00
12603,2.70,-22.50,-6.00,0.00,0,0,0,0,-250.00,-240.00
12653,0.96,-22.95,-4.80,0.00,0,0,0,0,-250.00,-240.00
12703,2.92,-22.95,-5.25,0.00,0,0,0,0,-250.00,-240.00
12753,3.75,-23.10,-5.40,0.00,0,0,0,0,-250.00,-240.00
12803,0.72,-22.35,-4.65,0.00,0,0,0,0,-250.00,-240.00
12853,3.34,-23.10,-4.65,0.00,0,0,0,0,-250.00,-240.00
12903,0.07,-22.20,-5.55,0.00,0,0,0,0,-250.00,-240.00
12953,-2.39,-22.35,-5.85,0.00,0,0,0,0,-250.00,-240.00
13003,-2.75,-22.35,-5.40,0.00,0,0,0,0,-250.00,-234.00
13053,1.48,-22.95,-6.00,0.00,0,0,0,0,-250.00,-234.00
13103,0.65,-22.20,-6.30,0.00,0,0,0,0,-250.00,-240.00
13153,-0.53,-22.05,-5.40,0.00,0,0,0,0,-250.00,-240.00
13203,0.27,-22.35,-4.65,0.00,0,0,0,0,-250.00,-240.00
13253,-0.35,-23.10,-5.10,0.00,0,0,0,0,-250.00,-240.00
13303,-2.85,-21.90,-6.00,0.00,0,0,0,0,-250.00,-240.00
13353,2.68,-21.30,-5.85,0.00,0,0,0,0,-250.00,-240.00
13403,2.67,-21.90,-4.80,0.00,0,0,0,0,-250.00,-240.00
13453,-0.92,-22.80,-5.40,0.00,0,0,0,0,-250.00,-240.00
13503,-1.12,-22.35,-4.65,0.00,0,0,0,0,-250.00,-240.00
13553,1.80,-22.20,-6.30,0.00,0,0,0,0,-250.00,-240.00
13603,-0.73,-21.90,-4.50,0.00,0,0,0,0,-250.00,-240.00
13653,-1.34,-22.50,-4.20,0.00,0,0,0,0,-250.00,-240.00
13703,-0.29,-22.20,-6.00,0.00,0,0,0,0,-250.00,-240.00
13753,0.55,-20.40,-5.55,0.00,0,0,0,0,-250.00,-240.00
13803,1.03,-22.50,-5.55,0.00,0,0,0,0,-250.00,-234.00
13853,-1.83,-22.20,-5.55,0.00,0,0,0,0,-250.00,-240.00
13903,1.94,-21.45,-5.25,0.00,0,0,0,0,-250.00,-240.00
13953,0.99,-23.25,-5.25,0.00,0,0,0,0,-250.00,-240.00
14003,-0.40,-23.55,-5.55,0.00,0,0,0,0,-250.00,-240.00
14053,-0.04,-21.90,-5.25,0.00,0,0,0,0,-250.00,-234.00
14103,1.02,-22.50,-4.80,0.00,0,0,0,0,-250.00,-240.00
14153,0.56,-23.85,-5.85,0.00,0,0,0,0,-250.00,-240.00
14203,0.43,-22.95,-6.00,0.00,0,0,0,0,-250.00,-240.00
14253,-0.95,-22.95,-5.55,0.00,0,0,0,0,-250.00,-240.00
14303,0.91,-22.05,-6.45,0.00,0,0,0,0,-250.00,-234.00
14353,-1.93,-22.05,-5.85,0.00,0,0,0,0,-250.00,-240.00
14403,0.63,-22.35,-5.10,0.00,0,0,0,0,-250.00,-240.00
14453,0.84,-22.80,-6.45,0.00,0,0,0,0,-250.00,-240.00
14503,1.48,-22.35,-4.65,0.00,0,0,0,0,-250.00,-240.00
14553,1.23,-23.40,-4.65,0.00,0,0,0,0,-250.00,-234.00
14603,1.69,-22.35,-4.65,0.00,0,0,0,0,-250.00,-234.00
14653,4.38,-22.95,-5.55,0.00,0,0,0,0,-250.00,-240.00
14703,1.56,-22.05,-4.65,0.00,0,0,0,0,-250.00,-240.00
14753,6.51,-22.35,-6.15,0.00,0,0,0,0,-250.00,-240.00
14803,0.64,-22.80,-6.15,0.00,0,0,0,0,-250.00,-234.00
14853,-1.89,-21.90,-4.80,0.00,0,0,0,0,-250.00,-234.00
14903,1.43,-22.80,-5.10,0.00,0,0,0,0,-250.00,-240.00
14953,0.97,-22.80,-5.10,0.00,0,0,0,0,-250.00,-240.00
15003,1.49,-21.45,-5.55,0.00,0,0,0,0,-250.00,-234.00
15053,0.73,-22.80,-5.40,0.00,0,0,0,0,-252.87,-240.00
15103,1.68,-22.35,-4.65,0.00,0,0,0,0,-256.20,-240.00
15153,-0.49,-23.10,-6.90,0.00,0,0,0,0,-259.53,-240.00
15203,-0.06,-22.35,-5.40,0.00,0,0,0,0,-262.87,-240.00
15253,-0.20,-22.50,-5.25,0.00,0,0,0,0,-266.20,-246.00
15303,-1.85,-23.10,-5.85,0.00,0,0,0,0,-269.53,-246.00
